Sample,Color,wl,spectra
1,Summersi_dors,977,26.7025
1,Summersi_dors,978,26.69
1,Summersi_dors,979,26.72
1,Summersi_dors,980,26.6875
1,Summersi_dors,981,26.7275
1,Summersi_dors,982,26.75
1,Summersi_dors,983,26.6925
1,Summersi_dors,984,26.645
1,Summersi_dors,985,26.8125
1,Summersi_dors,986,26.9225
1,Summersi_dors,987,26.9375
1,Summersi_dors,988,27.1625
1,Summersi_dors,989,27.0975
1,Summersi_dors,990,27.0575
1,Summersi_dors,991,27.07
1,Summersi_dors,992,27.025
1,Summersi_dors,993,27.15
1,Summersi_dors,994,27.225
1,Summersi_dors,995,27.3125
1,Summersi_dors,996,27.4725
1,Summersi_dors,997,27.445
1,Summersi_dors,998,27.44
1,Summersi_dors,999,27.5475
1,Summersi_dors,1000,27.555
